Date,Temp
1981-01-01,20.7
1981-01-11,16.2
1981-01-21,18.2
1981-01-31,15.4
1981-02-10,15.0
1981-02-20,15.7
1981-03-02,18.6
1981-03-12,14.7
1981-03-22,8.0
1981-04-01,16.7
1981-04-11,7.6
1981-04-21,9.0
1981-05-01,8.6
1981-05-11,10.1
1981-05-21,3.4
1981-05-31,12.8
1981-06-10,11.0
1981-06-20,3.8
1981-06-30,9.5
1981-07-10,4.6
1981-07-20,10.1
1981-07-30,3.5
1981-08-09,7.0
1981-08-19,9.7
1981-08-29,8.1
1981-09-08,14.6
1981-09-18,16.9
1981-09-28,9.6
1981-10-08,7.3
1981-10-18,7.3
1981-10-28,12.5
1981-11-07,7.6
1981-11-17,9.4
1981-11-27,12.6
1981-12-07,14.7
1981-12-17,16.4
1981-12-27,15.5
1982-01-06,12.5
1982-01-16,15.8
1982-01-26,13.3
1982-02-05,13.1
1982-02-15,26.3
1982-02-25,12.5
1982-03-07,16.7
1982-03-17,15.7
1982-03-27,17.2
1982-04-06,12.0
1982-04-16,14.2
1982-04-26,6.9
1982-05-06,11.0
1982-05-16,4.6
1982-05-26,12.1
1982-06-05,0.0
1982-06-15,7.3
1982-06-25,1.3
1982-07-05,3.9
1982-07-15,3.3
1982-07-25,9.5
1982-08-04,2.8
1982-08-14,9.5
1982-08-24,12.1
1982-09-03,10.5
1982-09-13,3.6
1982-09-23,6.3
1982-10-03,13.2
1982-10-13,13.1
1982-10-23,10.6
1982-11-02,6.9
1982-11-12,9.0
1982-11-22,10.3
1982-12-02,10.3
1982-12-12,12.6
1982-12-22,10.8
1983-01-01,18.4
1983-01-11,10.5
1983-01-21,15.4
1983-01-31,14.0
1983-02-10,15.9
1983-02-20,14.2
1983-03-02,22.0
1983-03-12,21.1
1983-03-22,16.3
1983-04-01,12.5
1983-04-11,15.5
1983-04-21,10.4
1983-05-01,12.5
1983-05-11,12.9
1983-05-21,7.5
1983-05-31,9.3
1983-06-10,7.8
1983-06-20,6.2
1983-06-30,5.5
1983-07-10,2.4
1983-07-20,3.9
1983-07-30,9.5
1983-08-09,10.5
1983-08-19,3.0
1983-08-29,8.3
1983-09-08,12.2
1983-09-18,7.5
1983-09-28,15.4
1983-10-08,5.8
1983-10-18,10.0
1983-10-28,12.3
1983-11-07,13.6
1983-11-17,5.7
1983-11-27,14.2
1983-12-07,12.7
1983-12-17,14.8
1983-12-27,13.9
1984-01-06,16.3
1984-01-16,18.2
1984-01-26,13.9
1984-02-05,14.2
1984-02-15,14.6
1984-02-25,13.5
1984-03-06,19.5
1984-03-16,10.9
1984-03-26,10.2
1984-04-05,9.7
1984-04-15,12.8
1984-04-25,10.3
1984-05-05,3.3
1984-05-15,6.2
1984-05-25,8.0
1984-06-04,7.2
1984-06-14,8.1
1984-06-24,10.1
1984-07-04,3.9
1984-07-14,0.1
1984-07-24,7.5
1984-08-03,11.1
1984-08-13,8.5
1984-08-23,9.3
1984-09-02,11.3
1984-09-12,8.0
1984-09-22,6.6
1984-10-02,16.3
1984-10-12,17.2
1984-10-22,9.8
1984-11-01,16.6
1984-11-11,12.2
1984-11-21,10.0
1984-12-01,12.6
1984-12-11,12.2
1984-12-21,14.2
1985-01-01,13.3
1985-01-11,14.5
1985-01-21,12.4
1985-01-31,15.2
1985-02-10,15.3
1985-02-20,14.6
1985-03-02,15.5
1985-03-12,22.4
1985-03-22,18.4
1985-04-01,16.4
1985-04-11,16.2
1985-04-21,6.3
1985-05-01,9.4
1985-05-11,13.4
1985-05-21,8.5
1985-05-31,10.1
1985-06-10,10.0
1985-06-20,8.4
1985-06-30,10.4
1985-07-10,4.9
1985-07-20,3.2
1985-07-30,6.6
1985-08-09,7.2
1985-08-19,8.3
1985-08-29,3.6
1985-09-08,4.8
1985-09-18,7.2
1985-09-28,7.7
1985-10-08,11.1
1985-10-18,12.8
1985-10-28,11.9
1985-11-07,15.3
1985-11-17,12.0
1985-11-27,14.0
1985-12-07,18.2
1985-12-17,12.1
1985-12-27,11.5
